date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:38:09	113003/113003	---M--	200	added ('OK')	image/jpeg	etag:%221b96b-5ec8d9309f340%22	https://www.websitedesign.co.za/images/slider/website_design_special.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/slider/website_design_special.jpg	(from https://www.websitedesign.co.za/)
10:38:09	91165/91165	---M--	200	added ('OK')	image/jpeg	etag:%221641d-5ec8d92eb6ec0%22	https://www.websitedesign.co.za/images/slider/websites_with_hosting.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/slider/websites_with_hosting.jpg	(from https://www.websitedesign.co.za/)
10:38:10	58287/58287	---M-Z	200	added ('OK')	text/html	etag:%22e3af-5ec8d90f3e480-gzip%22	https://www.websitedesign.co.za/manageyourownwebsite.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/manageyourownwebsite.html	(from https://www.websitedesign.co.za/)
10:38:10	50161/50161	---M-Z	200	added ('OK')	text/html	etag:%22c3f1-5ec8d90f3e480-gzip%22	https://www.websitedesign.co.za/ecommwebsites.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/ecommwebsites.html	(from https://www.websitedesign.co.za/)
10:38:10	76929/76929	---M--	200	added ('OK')	image/jpeg	etag:%2212c81-5ec8d929f2380%22	https://www.websitedesign.co.za/images/slider/ecommerce_website.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/slider/ecommerce_website.jpg	(from https://www.websitedesign.co.za/)
10:38:11	45266/45266	---M-Z	200	added ('OK')	text/html	etag:%22b0d2-5ec8d90d56000-gzip%22	https://www.websitedesign.co.za/complex-website-design.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/complex-website-design.html	(from https://www.websitedesign.co.za/)
10:38:11	87910/87910	---M--	200	added ('OK')	image/jpeg	etag:%2215766-5ec8d92809f00%22	https://www.websitedesign.co.za/images/slider/custom_and_advance_websites.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/slider/custom_and_advance_websites.jpg	(from https://www.websitedesign.co.za/)
10:38:12	78332/78332	---M--	200	added ('OK')	image/jpeg	etag:%22131fc-5ec8d9309f340%22	https://www.websitedesign.co.za/images/slider/website_marketing.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/slider/website_marketing.jpg	(from https://www.websitedesign.co.za/)
10:38:12	58804/58804	---M-Z	200	added ('OK')	text/html	etag:%22e5b4-5ec8d914f7200-gzip%22	https://www.websitedesign.co.za/websitedesignmarketing-seo.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/websitedesignmarketing-seo.html	(from https://www.websitedesign.co.za/)
10:38:12	85717/85717	---M--	200	added ('OK')	image/jpeg	etag:%2214ed5-5ec8d929f2380%22	https://www.websitedesign.co.za/images/slider/hosting_solutions.jpg	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/slider/hosting_solutions.jpg	(from https://www.websitedesign.co.za/)
10:38:12	60183/60183	---M-Z	200	added ('OK')	text/html	etag:%22eb17-5ec8d914f7200-gzip%22	https://www.websitedesign.co.za/websitedesignhosting.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/websitedesignhosting.html	(from https://www.websitedesign.co.za/)
10:38:13	78571/78571	---M-Z	200	added ('OK')	text/html	etag:%22132eb-5ec8d90f3e480-gzip%22	https://www.websitedesign.co.za/index.html	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/index-2.html	(from https://www.websitedesign.co.za/)
10:38:13	4654/4654	---M--	200	added ('OK')	image/png	etag:%22122e-5ec8d918c7b00%22	https://www.websitedesign.co.za/images/website_design_logo.png	C:/My%20Web%20Sites/web7/www.websitedesign.co.za/images/website_design_logo.png	(from https://www.websitedesign.co.za/)
